car_name,year,distance,owner,fuel,location,drive,type,price
Renault Kwid,2019,26039,1,PETROL,KA-50,Manual,HatchBack,472000
Maruti New Wagon-R,2020,64212,1,CNG,TS-07,Manual,HatchBack,592000
Tata NEXON,2021,3948,1,PETROL,GJ-38,Automatic,SUV,952000
Maruti Ciaz,2021,95356,2,PETROL,WB-08,Manual,Sedan,345000
Maruti Ciaz,2020,68433,1,PETROL,PB-91,Manual,Sedan,714000
Hyundai Elite i20,2015,94059,2,PETROL,MH-46,Manual,HatchBack,497000
Hyundai New Elantra,2019,37428,2,PETROL,GJ-18,Automatic,Lux_sedan,1539000
Maruti Alto K10,2013,85808,1,PETROL,KL-22,Manual,HatchBack,243000
Maruti Wagon R 1.0,2016,64642,1,PETROL,DL-2C,Manual,HatchBack,359000
Maruti New Wagon-R,2021,61651,1,CNG,MH-05,Manual,HatchBack,558000
Hyundai i10,2012,21063,1,PETROL,UP-14,Manual,HatchBack,257000
Hyundai NEW SANTRO,2020,38751,1,CNG,MH-12,Manual,HatchBack,573000
Hyundai Elite i20,2019,18784,1,PETROL,MH-14,Manual,HatchBack,711000
Nissan Micra,2017,31476,1,PETROL,KA-03,Automatic,HatchBack,545000
Honda WR-V,2017,30033,1,PETROL,TN-06,Manual,SUV,798000
Toyota YARIS,2018,18326,1,PETROL,PB-70,Manual,Sedan,733000
Datsun Redi Go,2017,29220,1,PETROL,PB-10,Manual,HatchBack,219000
Maruti Alto K10,2012,92682,2,PETROL,KL-02,Manual,HatchBack,206000
Renault Kwid,2016,48652,2,PETROL,TS-07,Manual,HatchBack,299000
Mahindra XUV500,2018,83294,2,DIESEL,HR-26,Manual,Lux_SUV,1086000
Maruti Dzire,2017,78566,1,PETROL,TS-08,Automatic,Sedan,726000
Tata Tiago,2017,51405,3,PETROL,KA-19,Manual,HatchBack,423000
Maruti Baleno,2016,34820,2,CNG,MH-14,Automatic,HatchBack,610000
Mahindra BOLERO NEO,2021,63146,1,DIESEL,UP-32,Manual,SUV,833000
Hyundai NEW SANTRO,2018,76855,2,PETROL,KA-05,Automatic,HatchBack,499000
Renault Kiger,2021,13808,1,PETROL,TN-03,Manual,HatchBack,837000
Maruti IGNIS,2019,30098,1,PETROL,TN-09,Manual,HatchBack,539000
Honda City,2017,69587,1,PETROL,KA-05,Manual,Sedan,680000
Maruti Baleno,2016,62894,2,PETROL,KA-51,Automatic,HatchBack,602000
Maruti Celerio,2016,30940,2,PETROL,MH-47,Automatic,HatchBack,336000
Honda WR-V,2017,71649,1,DIESEL,MH-12,Manual,SUV,809000
Ford Ecosport,2018,59589,1,DIESEL,MH-47,Manual,SUV,794000
Honda City,2020,102002,1,DIESEL,TN-73,Manual,Sedan,478700
Honda City,2021,33789,1,PETROL,UP-16,Automatic,Sedan,1387000
Honda Jazz,2018,29151,2,PETROL,GJ-01,Manual,HatchBack,513000
Volkswagen Polo,2016,81031,1,PETROL,UP-32,Manual,HatchBack,378000
Maruti Wagon R 1.0,2017,55676,2,PETROL,TN-01,Manual,HatchBack,423000
Maruti Celerio,2017,120703,2,PETROL,,Automatic,HatchBack,407000
Maruti Swift,2021,42516,1,PETROL,TN-85,Manual,HatchBack,660000
Datsun Go Plus,2018,23154,1,PETROL,TN-56,Manual,HatchBack,414000
Renault Kwid,2019,38825,1,PETROL,WB-02,Manual,HatchBack,392000
Hyundai GRAND I10 NIOS,2021,50380,1,CNG,DL-9C,Manual,HatchBack,644000
Toyota YARIS,2018,17875,2,PETROL,KA-42,Manual,Sedan,1015000
Hyundai Grand i10,2016,56022,1,PETROL,TS-07,Manual,HatchBack,502000
Hyundai Creta,2019,48657,1,PETROL,HR-26,Manual,SUV,1007000
Maruti Dzire,2019,22797,1,PETROL,UP-78,Manual,Sedan,782000
Maruti Wagon R 1.0,2015,74759,1,PETROL,MH-05,Manual,HatchBack,342000
Hyundai i10,2010,62726,1,PETROL,KA-03,Manual,HatchBack,276000
Maruti Baleno,2018,29314,1,PETROL,WB-02,Manual,HatchBack,523000
Maruti Swift,2012,51873,2,PETROL,GJ-06,Manual,HatchBack,367000
Maruti Alto K10,2015,46499,2,PETROL,PB-09,Manual,HatchBack,261000
Maruti Wagon R 1.0,2016,40561,2,CNG,MH-46,Automatic,HatchBack,379000
Honda City,2014,50161,1,PETROL,WB-02,Manual,Sedan,408000
Maruti Vitara Brezza,2018,89047,1,DIESEL,HR-26,Manual,SUV,574000
Maruti Celerio,2019,30109,2,PETROL,TN-14,Automatic,HatchBack,492000
Maruti Swift Dzire,2014,24316,1,PETROL,TN-22,Manual,Sedan,760000
Honda City,2019,68382,1,PETROL,CH-01,Manual,Sedan,565000
Honda WR-V,2018,13826,2,PETROL,MH-01,Manual,SUV,711000
Hyundai Verna,2017,109832,2,PETROL,,Manual,Sedan,525000
Maruti New Wagon-R,2021,63818,1,CNG,HR-26,Manual,HatchBack,564200
Hyundai i20,2013,91983,2,PETROL,DL-3C,Manual,HatchBack,297000
Hyundai Grand i10,2015,40751,1,PETROL,KA-51,Manual,HatchBack,524000
Skoda Rapid,2017,104774,1,DIESEL,UP-32,Manual,Sedan,687800
KIA SONET,2020,56330,1,PETROL,TS-08,Automatic,SUV,1138000
Maruti Alto,2021,14771,1,PETROL,KA-03,Manual,HatchBack,463000
Hyundai NEW I20,2021,51220,1,PETROL,MH-06,Manual,HatchBack,814000
Tata Tiago,2017,46667,2,PETROL,TN-13,Automatic,HatchBack,488000
Maruti Swift Dzire,2017,54838,1,PETROL,MH-01,Manual,Sedan,348000
Hyundai i10,2012,75621,1,PETROL,UP-16,Manual,HatchBack,253000
Maruti Alto K10,2018,3504,1,PETROL,MH-03,Manual,HatchBack,366000
Maruti Wagon R 1.0,2013,46873,1,PETROL,WB-02,Manual,HatchBack,216000
Maruti Swift Dzire,2015,37158,1,PETROL,UP-16,Automatic,Sedan,712000
Hyundai Grand i10,2015,43785,1,PETROL,HR-30,Manual,HatchBack,378000
Hyundai Grand i10,2016,22977,1,PETROL,KA-51,Manual,HatchBack,527000
Maruti S PRESSO,2022,10592,1,PETROL,PB-08,Manual,HatchBack,469000
Maruti Alto K10,2015,46720,2,PETROL,KA-03,Manual,HatchBack,334000
Maruti Swift Dzire,2013,51515,1,PETROL,UP-14,Manual,Sedan,357000
Honda Jazz,2021,7171,1,PETROL,MH-14,Manual,HatchBack,860000
Maruti Vitara Brezza,2019,54125,2,DIESEL,HR-26,Automatic,SUV,746000
Hyundai Elite i20,2016,53789,1,PETROL,KA-53,Manual,HatchBack,706000
Honda City,2018,36212,1,PETROL,GJ-02,Automatic,Sedan,1186000
Hyundai Creta,2022,2747,1,PETROL,BR-01,Manual,SUV,1150000
Maruti Dzire,2019,24495,2,PETROL,DL-2C,Manual,Sedan,593000
Maruti Ciaz,2018,50946,2,PETROL,HR-26,Manual,Sedan,659000
Maruti Swift Dzire,2012,57606,1,DIESEL,MH-03,Manual,Sedan,860000
Maruti Baleno,2020,63060,1,PETROL,GJ-06,Manual,HatchBack,605000
Maruti Swift,2013,43278,1,PETROL,GJ-06,Manual,HatchBack,402000
Maruti New Wagon-R,2019,90671,1,CNG,HR-29,Manual,HatchBack,476000
Hyundai i20,2014,53014,1,PETROL,GJ-13,Manual,HatchBack,429000
Maruti Swift Dzire,2013,59301,1,PETROL,DL-9C,Manual,Sedan,358000
Honda Amaze,2019,25928,1,PETROL,GJ-06,Automatic,Sedan,872000
Maruti Wagon R 1.0,2017,88004,1,PETROL,TN-18,Manual,HatchBack,441000
Maruti Wagon R 1.0,2011,45040,2,CNG,DL-8C,Manual,HatchBack,234000
Maruti IGNIS,2017,81135,2,DIESEL,TS-09,Automatic,HatchBack,596000
Maruti S Cross,2021,22273,1,PETROL,UP-32,Manual,SUV,795000
Maruti Swift,2010,66354,1,PETROL,DL-9C,Manual,HatchBack,178000
Renault Kiger,2021,17210,1,PETROL,DL-3C,Automatic,HatchBack,922000
Maruti Baleno,2016,72160,1,PETROL,MH-48,Manual,HatchBack,530000
Tata Tiago,2018,54154,1,PETROL,KA-59,Automatic,HatchBack,565000
Maruti S Cross,2021,17916,1,PETROL,UP-85,Manual,SUV,839000
Hyundai Grand i10,2018,61598,2,PETROL,KA-53,Manual,HatchBack,517000
Renault TRIBER,2022,39316,1,PETROL,TS-08,Manual,SUV,687000
Maruti Celerio,2016,24189,2,PETROL,TS-07,Automatic,HatchBack,447000
Hyundai Grand i10,2014,76853,1,PETROL,KA-19,Manual,HatchBack,416000
Jeep Compass,2019,23690,1,PETROL,DL-3C,Automatic,Lux_SUV,1645000
Renault Kwid,2018,37418,2,PETROL,KA-53,Manual,HatchBack,402000
Maruti Swift,2015,74704,1,DIESEL,MH-14,Manual,HatchBack,613000
Ford Ecosport,2019,87938,1,DIESEL,BR-01,Manual,SUV,741000
Hyundai i10,2012,48223,2,PETROL,DL-7C,Manual,HatchBack,213000
Maruti Swift Dzire,2013,108714,3,PETROL,,Manual,Sedan,522000
Hyundai GRAND I10 NIOS,2021,77450,1,CNG,UP-32,Manual,HatchBack,655000
Hyundai i20,2012,68907,2,PETROL,DL-3C,Manual,HatchBack,290000
Maruti Swift,2015,58464,2,PETROL,MH-12,Manual,HatchBack,457000
Renault Kwid,2019,12153,1,PETROL,DL-12,Manual,HatchBack,444000
Hyundai Grand i10,2017,28749,1,PETROL,DL-8C,Manual,HatchBack,494000
Maruti Baleno,2019,15551,1,PETROL,MH-12,Manual,HatchBack,701000
Hyundai i10,2012,52842,2,PETROL,MH-06,Manual,HatchBack,257000
Renault Kwid,2019,16926,2,PETROL,KA-20,Manual,HatchBack,440000
Maruti Baleno,2019,28991,1,PETROL,DL-2C,Manual,HatchBack,567000
Hyundai Verna,2018,31426,1,PETROL,UP-78,Manual,Sedan,824000
Maruti Wagon R 1.0,2017,38035,1,PETROL,GJ-19,Automatic,HatchBack,404000
Maruti Swift Dzire,2014,101543,1,PETROL,,Manual,Sedan,456000
Honda City,2018,43692,1,PETROL,MH-47,Automatic,Sedan,802000
Jeep Compass,2017,89464,1,DIESEL,TS-08,Manual,Lux_SUV,1103000
Hyundai Verna,2013,75251,1,DIESEL,GJ-03,Manual,Sedan,719000
Maruti Baleno,2016,58515,1,PETROL,DL-8C,Manual,HatchBack,434000
Maruti Swift,2020,57109,1,PETROL,GJ-27,Manual,HatchBack,592000
Honda WR-V,2019,38273,2,PETROL,UP-85,Manual,SUV,675200
Maruti Alto K10,2016,51825,1,PETROL,TN-10,Manual,HatchBack,306000
Maruti Alto 800,2016,37125,1,PETROL,MH-31,Manual,HatchBack,283000
Renault Captur,2018,68132,1,DIESEL,WB-02,Manual,SUV,732000
Honda Amaze,2018,120112,2,DIESEL,MH-18,Manual,Sedan,534000
Honda Amaze,2021,71423,1,PETROL,KA-53,Manual,Sedan,615000
Maruti XL6,2019,19675,2,PETROL,GJ-21,Automatic,SUV,1027000
Tata TIGOR,2018,59296,2,DIESEL,KA-53,Manual,Sedan,656000
KIA SELTOS,2020,17415,1,PETROL,MH-02,Automatic,SUV,1717000
Hyundai i10,2010,81176,2,PETROL,CH-01,Manual,HatchBack,170000
Renault Kiger,2021,17632,1,PETROL,UP-62,Manual,HatchBack,778000
Hyundai NEW SANTRO,2020,40817,2,PETROL,TS-08,Automatic,HatchBack,591000
Maruti Alto,2020,28867,1,PETROL,TN-18,Manual,HatchBack,376000
Maruti Celerio,2014,65187,1,PETROL,UP-78,Automatic,HatchBack,310000
Hyundai Verna,2018,87503,1,DIESEL,MH-04,Manual,Sedan,500000
Renault Kwid,2018,30209,1,PETROL,GJ-05,Manual,HatchBack,330000
Hyundai Creta,2018,58057,2,DIESEL,UP-16,Automatic,SUV,1007000
Maruti S Cross,2016,122542,1,DIESEL,MH-05,Manual,SUV,627000
Maruti Baleno,2016,40188,1,PETROL,GJ-01,Manual,HatchBack,497000
Hyundai Eon,2018,33366,1,CNG,GJ-04,Manual,HatchBack,372000
Maruti Vitara Brezza,2017,44726,1,DIESEL,UP-78,Manual,SUV,648000
Hyundai i10,2010,104950,1,PETROL,,Manual,HatchBack,227000
Tata ALTROZ,2021,3895,1,PETROL,TN-12,Manual,HatchBack,753000
Maruti Dzire,2018,74169,1,PETROL,DL-4C,Automatic,Sedan,676000
Hyundai Grand i10,2017,68757,2,PETROL,TN-04,Manual,HatchBack,505000
Skoda Rapid,2020,49220,1,PETROL,UP-78,Manual,Sedan,490000
Renault Kwid,2017,51426,1,PETROL,TN-85,Manual,HatchBack,351000
Maruti Swift,2016,61881,1,PETROL,TS-13,Manual,HatchBack,550000
Maruti Dzire,2018,31458,2,PETROL,KA-03,Automatic,Sedan,601000
KIA SONET,2022,5120,1,PETROL,GJ-01,Manual,SUV,1244000
Maruti Ciaz,2018,69846,2,PETROL,KA-01,Automatic,Sedan,589000
Maruti Alto,2010,244253,1,PETROL,,Manual,HatchBack,192000
Skoda Rapid,2012,20752,1,PETROL,DL-4C,Manual,Sedan,578000
Maruti Dzire,2017,80140,1,PETROL,KL-43,Manual,Sedan,608000
Maruti Celerio,2016,97383,2,PETROL,WB-12,Manual,HatchBack,285000
Renault Kwid,2017,62826,1,PETROL,HR-12,Manual,HatchBack,267000
Skoda Rapid,2021,76654,1,DIESEL,TS-07,Automatic,Sedan,1012000
Honda Amaze,2015,91771,2,DIESEL,MH-15,Manual,Sedan,488000
Ford New Figo,2021,13923,1,PETROL,TN-07,Automatic,HatchBack,817000
Tata TIGOR,2018,65411,1,DIESEL,BR-01,Manual,Sedan,491000
Maruti Dzire,2018,62543,1,PETROL,UP-25,Manual,Sedan,366000
Maruti Baleno,2020,60058,1,PETROL,KA-03,Manual,HatchBack,676000
Ford Ecosport,2018,77819,2,DIESEL,WB-44,Manual,SUV,737000
Maruti Celerio X,2019,85140,1,PETROL,TN-20,Manual,HatchBack,421000
Maruti Alto 800,2012,35007,2,PETROL,AP-28,Manual,HatchBack,259000
Maruti Swift,2019,89899,1,PETROL,TS-09,Automatic,HatchBack,711000
Renault Kwid,2021,17847,1,PETROL,DL-10,Automatic,HatchBack,531000
Maruti Swift Dzire,2015,25960,1,PETROL,GJ-01,Automatic,Sedan,968000
Tata NEXON,2019,33978,1,PETROL,HR-26,Automatic,SUV,853000
Maruti New Wagon-R,2020,67846,1,PETROL,UP-32,Manual,HatchBack,474000
Datsun Redi Go,2021,13454,1,PETROL,HR-51,Manual,HatchBack,362000
Honda Brio,2014,50650,2,PETROL,WB-08,Manual,HatchBack,275000
Hyundai Eon,2017,90153,1,PETROL,KA-04,Manual,HatchBack,295000
Maruti Ciaz,2018,52130,1,PETROL,WB-02,Manual,Sedan,626000
Maruti Swift,2017,69895,1,PETROL,GJ-23,Manual,HatchBack,479000
Hyundai i10,2011,54682,1,PETROL,DL-12,Manual,HatchBack,241000
Mahindra Thar,2021,5097,2,PETROL,GJ-03,Automatic,SUV,1547000
Maruti Dzire,2019,44546,1,PETROL,DL-5C,Manual,Sedan,635000
Maruti Swift,2012,116973,1,PETROL,,Manual,HatchBack,316000
Tata NEXON,2021,31793,1,DIESEL,KA-03,Automatic,SUV,1295000
Mahindra XUV500,2017,30728,1,DIESEL,KA-03,Automatic,Lux_SUV,1531000
Toyota Innova Crysta,2018,81300,1,DIESEL,MH-05,Manual,SUV,1713000
Volkswagen Polo,2019,58031,1,PETROL,MH-12,Manual,HatchBack,639000
Hyundai Eon,2016,8187,2,PETROL,KA-41,Manual,HatchBack,366000
Mahindra XUV500,2016,54628,2,DIESEL,KA-05,Manual,Lux_SUV,1012000
Ford Ecosport,2017,52450,2,PETROL,HR-26,Manual,SUV,551000
Maruti Alto 800,2016,40133,3,PETROL,TN-33,Manual,HatchBack,277000
Maruti Vitara Brezza,2018,36428,1,DIESEL,HR-10,Automatic,SUV,779000
Datsun Go,2016,42285,1,PETROL,BR-01,Manual,HatchBack,203000
Maruti Baleno,2020,35053,1,PETROL,DL-3C,Manual,HatchBack,655000
Maruti Swift Dzire,2015,56389,2,PETROL,DL-3C,Automatic,Sedan,316000
Toyota YARIS,2021,58989,1,PETROL,DL-14,Automatic,Sedan,913000
Maruti Dzire,2019,35146,1,PETROL,KA-41,Automatic,Sedan,731000
Hyundai Elite i20,2019,62596,1,PETROL,PB-91,Manual,HatchBack,685000
Maruti S Cross,2020,26852,1,PETROL,TS-07,Manual,SUV,1019000
Honda City,2015,13681,1,PETROL,TN-12,Manual,Sedan,926000
Maruti Alto K10,2011,84199,2,PETROL,HR-26,Manual,HatchBack,168000
Honda Jazz,2022,11077,1,PETROL,HR-98,Automatic,HatchBack,830000
Maruti New Wagon-R,2019,38201,1,PETROL,PB-70,Manual,HatchBack,510000
Hyundai i20,2013,62091,3,PETROL,DL-3C,Manual,HatchBack,290000
Maruti Baleno,2017,44339,1,PETROL,TS-08,Manual,HatchBack,658000
Honda WR-V,2017,87581,1,PETROL,DL-3C,Manual,SUV,613000
Maruti Swift Dzire,2010,38464,2,PETROL,TN-72,Automatic,Sedan,1049000
Hyundai ALCAZAR,2021,30111,1,DIESEL,TS-07,Manual,SUV,1877000
Hyundai VENUE,2021,13241,1,PETROL,PB-70,Automatic,SUV,1118000
Renault Kwid,2017,28675,1,PETROL,GJ-05,Automatic,HatchBack,337000
Hyundai Grand i10,2017,86527,1,PETROL,UP-80,Manual,HatchBack,446000
Maruti Wagon R 1.0,2018,66438,1,CNG,HR-26,Manual,HatchBack,424000
Maruti Alto K10,2018,24379,1,PETROL,TS-11,Manual,HatchBack,356000
Honda Amaze,2013,95303,1,PETROL,GJ-05,Manual,Sedan,674000
Volkswagen Polo,2013,61360,1,PETROL,MH-01,Automatic,HatchBack,467000
Maruti Baleno,2021,61289,1,PETROL,GJ-27,Manual,HatchBack,696000
Honda Amaze,2019,48162,1,PETROL,HR-51,Manual,Sedan,566000
Honda Amaze,2018,70968,1,PETROL,KA-03,Manual,Sedan,617000
Honda City,2016,61813,3,PETROL,MH-47,Automatic,Sedan,603000
Ford Ecosport,2017,85982,2,PETROL,TN-01,Automatic,SUV,694000
Maruti Wagon R 1.0,2015,79769,1,CNG,MH-47,Manual,HatchBack,353000
Hyundai Elite i20,2017,93975,1,PETROL,KA-03,Manual,HatchBack,699000
Hyundai Creta,2022,4164,1,DIESEL,MH-14,Manual,SUV,1449000
Honda Brio,2015,73634,1,PETROL,KA-05,Manual,HatchBack,413000
Maruti Swift Dzire,2012,50816,2,PETROL,KA-09,Automatic,Sedan,797000
Maruti A Star,2010,49743,1,PETROL,MH-03,Manual,HatchBack,164000
Volkswagen Ameo,2017,114844,1,PETROL,,Manual,Sedan,591000
Maruti Baleno,2019,57203,1,PETROL,UP-78,Manual,HatchBack,610000
Honda Civic,2019,113624,1,DIESEL,GJ-01,Manual,Sedan,631000
Maruti Dzire,2017,53119,1,PETROL,DL-1C,Manual,Sedan,502000
Maruti Celerio,2018,31424,1,PETROL,TN-59,Manual,HatchBack,529000
Renault Kwid,2019,55065,1,PETROL,MH-48,Automatic,HatchBack,428000
Volkswagen Polo,2010,97453,1,PETROL,KL-41,Manual,HatchBack,311000
Maruti Swift,2017,57938,1,PETROL,GJ-01,Manual,HatchBack,467000
Toyota Corolla Altis,2011,100075,2,PETROL,nan,Manual,Lux_sedan,394000
Maruti Celerio,2018,50870,1,CNG,MH-46,Manual,HatchBack,519000
Maruti Dzire,2018,79019,1,DIESEL,KA-43,Manual,Sedan,758000
Toyota Corolla Altis,2013,104563,2,PETROL,nan,Manual,Lux_sedan,353000
Honda City,2014,76899,1,PETROL,KA-01,Manual,Sedan,397000
Hyundai AURA,2020,92154,1,PETROL,TN-03,Manual,Sedan,551000
Maruti Baleno,2017,62422,2,PETROL,TS-07,Manual,HatchBack,574000
Maruti Alto K10,2017,28200,1,PETROL,TS-08,Automatic,HatchBack,364000
Hyundai i20,2011,93658,2,PETROL,DL-4C,Manual,HatchBack,207000
Hyundai Verna,2016,95184,2,PETROL,GJ-01,Automatic,Sedan,533000
Honda City,2018,32795,2,PETROL,MH-12,Automatic,Sedan,633000
Hyundai GRAND I10 NIOS,2019,9026,1,PETROL,KA-05,Manual,HatchBack,695000
Hyundai GRAND I10 NIOS,2019,38010,1,PETROL,TS-07,Automatic,HatchBack,710000
Honda Amaze,2021,69050,2,PETROL,KA-05,Manual,Sedan,733000
Maruti Swift,2018,71824,1,PETROL,MP-48,Automatic,HatchBack,522000
KIA SELTOS,2020,42372,1,PETROL,TS-08,Manual,SUV,1339000
Hyundai NEW I20,2020,34579,1,DIESEL,KA-02,Manual,HatchBack,1031000
Hyundai Grand i10,2014,44106,1,PETROL,KA-53,Manual,HatchBack,425000
Maruti Alto K10,2016,22747,2,PETROL,DL-1C,Manual,HatchBack,290000
Maruti Wagon R 1.0,2017,71220,1,CNG,HR-10,Manual,HatchBack,386000
Honda Amaze,2015,59657,1,DIESEL,DL-8C,Automatic,Sedan,690000
Hyundai i20 Active,2017,26404,1,PETROL,KA-03,Manual,HatchBack,691000
Maruti Baleno,2018,53715,4,CNG,TS-08,Manual,HatchBack,651000
Maruti S PRESSO,2019,67591,1,PETROL,GJ-05,Manual,HatchBack,435000
Hyundai Xcent,2015,105339,1,DIESEL,UP-16,Manual,Sedan,708000
Honda City,2020,104681,1,PETROL,,Manual,Sedan,469000
Maruti Dzire,2017,81369,1,PETROL,HR-03,Manual,Sedan,553000
Honda Jazz,2019,63460,1,PETROL,KA-05,Automatic,HatchBack,794000
Hyundai NEW SANTRO,2019,34284,1,CNG,DL-8C,Manual,HatchBack,533000
Ford Ecosport,2018,76198,1,DIESEL,GJ-01,Manual,SUV,760000
Hyundai Grand i10,2019,22695,1,PETROL,GJ-18,Manual,HatchBack,563000
Hyundai Elite i20,2017,41497,1,PETROL,GJ-27,Manual,HatchBack,658000
Maruti Celerio X,2018,70312,3,PETROL,MH-48,Manual,HatchBack,415000
Hyundai NEW SANTRO,2018,49258,1,CNG,MH-01,Manual,HatchBack,555000
Hyundai i20,2013,94424,1,PETROL,DL-12,Manual,HatchBack,319000
Maruti IGNIS,2018,36714,1,PETROL,KA-04,Manual,HatchBack,580000
Maruti Celerio,2019,9067,2,PETROL,KA-25,Manual,HatchBack,507000
Maruti New Wagon-R,2020,47781,1,CNG,CH-01,Manual,HatchBack,515000
Renault Duster,2021,12441,1,PETROL,TN-23,Automatic,SUV,1311000
Hyundai Grand i10,2015,89268,2,PETROL,GJ-01,Manual,HatchBack,448000
Maruti Wagon R 1.0,2013,45247,1,PETROL,DL-4C,Manual,HatchBack,250000
Maruti Ertiga,2017,101647,3,DIESEL,GJ-01,Manual,SUV,716000
Mahindra XUV500,2016,57626,1,DIESEL,KA-01,Manual,Lux_SUV,1274000
Maruti Alto K10,2015,44589,1,PETROL,KL-39,Manual,HatchBack,320000
Honda City,2017,39429,2,PETROL,MH-01,Automatic,Sedan,574000
Honda WR-V,2018,90213,1,PETROL,GJ-18,Manual,SUV,685000
Hyundai Grand i10,2015,25452,1,PETROL,KA-02,Manual,HatchBack,542000
Maruti Swift Dzire,2015,38272,1,PETROL,MH-02,Automatic,Sedan,885000
Maruti Ciaz,2017,34483,1,PETROL,MH-46,Manual,Sedan,511000
Maruti Alto 800,2014,71218,1,PETROL,KA-05,Manual,HatchBack,295000
Tata Tiago,2017,65287,1,PETROL,TN-10,Manual,HatchBack,458000
Maruti Dzire,2022,73980,2,PETROL,GJ-01,Manual,Sedan,573000
Maruti Wagon R 1.0,2016,36954,3,PETROL,GJ-10,Manual,HatchBack,375000
Tata ALTROZ,2022,5107,1,PETROL,TN-12,Automatic,HatchBack,952000
Maruti Wagon R 1.0,2017,33789,1,PETROL,GJ-05,Manual,HatchBack,399000
Maruti Dzire,2017,7281,1,PETROL,KA-05,Automatic,Sedan,1373000
Renault TRIBER,2019,24945,1,PETROL,TN-19,Manual,SUV,626000
Maruti Vitara Brezza,2017,67646,1,DIESEL,UP-65,Manual,SUV,644000
Maruti Dzire,2018,74352,1,PETROL,TN-01,Manual,Sedan,367000
Renault Kiger,2021,33234,1,PETROL,GJ-05,Automatic,HatchBack,748000
Maruti Baleno,2017,57559,1,PETROL,DL-8C,Manual,HatchBack,496000
Honda City,2016,38706,1,PETROL,KA-03,Manual,Sedan,724000
Maruti Vitara Brezza,2018,75647,1,DIESEL,UP-14,Manual,SUV,580000
Maruti Vitara Brezza,2019,59517,1,DIESEL,MH-44,Manual,SUV,900000
Maruti Vitara Brezza,2018,72152,2,DIESEL,KA-30,Automatic,SUV,930000
Maruti Ciaz,2018,30526,1,PETROL,GJ-15,Manual,Sedan,645000
Maruti BREZZA,2022,19466,1,PETROL,TS-05,Manual,SUV,1347000
Hyundai Eon,2018,57485,1,PETROL,MP-05,Manual,HatchBack,306000
Maruti Wagon R 1.0,2015,34204,1,CNG,MH-02,Manual,HatchBack,377000
Hyundai Verna,2019,43174,1,PETROL,MH-03,Manual,Sedan,463000
Renault Kwid,2020,14156,1,PETROL,GJ-06,Manual,HatchBack,393000
Hyundai Santro Xing,2014,10861,1,PETROL,DL-9C,Manual,HatchBack,264000
Honda City,2017,35925,1,PETROL,TS-09,Automatic,Sedan,746000
Honda Brio,2012,57686,2,PETROL,MH-43,Manual,HatchBack,275000
Maruti Dzire,2019,65131,2,PETROL,PB-70,Manual,Sedan,564000
Tata TIGOR,2017,69742,1,PETROL,GJ-05,Automatic,Sedan,873000
Tata ALTROZ,2021,9934,1,PETROL,MH-05,Manual,HatchBack,756000
Maruti Alto 800,2016,28381,1,PETROL,MH-12,Manual,HatchBack,279000
Nissan MAGNITE,2022,10478,1,PETROL,HR-98,Automatic,SUV,905000
Maruti Swift Dzire,2012,73970,1,DIESEL,TN-02,Automatic,Sedan,976000
Maruti Ritz,2011,59680,1,PETROL,DL-6C,Manual,HatchBack,192000
Maruti New Wagon-R,2019,33412,1,PETROL,TN-09,Manual,HatchBack,501000
Toyota Glanza,2020,50209,2,PETROL,TS-07,Manual,HatchBack,722000
Maruti Wagon R 1.0,2013,78947,3,PETROL,TN-31,Manual,HatchBack,329000
Maruti Alto,2021,18663,1,PETROL,KA-04,Manual,HatchBack,469000
Tata TIGOR,2019,46013,2,PETROL,PB-08,Automatic,Sedan,544000
Maruti Alto,2021,32041,1,CNG,HR-29,Manual,HatchBack,429000
Maruti Swift,2015,47507,3,PETROL,MH-03,Manual,HatchBack,462000
Maruti Swift Dzire,2010,35782,1,PETROL,MP-09,Manual,Sedan,738000
Maruti Baleno,2019,15480,1,PETROL,HR-26,Manual,HatchBack,624000
Honda Amaze,2019,15680,1,PETROL,GJ-38,Automatic,Sedan,1102000
Hyundai NEW SANTRO,2019,29390,1,PETROL,KA-03,Manual,HatchBack,508000
Honda Brio,2012,92796,1,PETROL,KA-01,Manual,HatchBack,338000
Hyundai Santro Xing,2013,81618,1,PETROL,UP-14,Manual,HatchBack,212000
Maruti Wagon R 1.0,2018,69705,1,PETROL,UP-40,Manual,HatchBack,382000
Maruti Wagon R 1.0,2015,46332,2,PETROL,KA-51,Manual,HatchBack,354000
Honda Amaze,2014,69660,1,PETROL,DL-4C,Manual,Sedan,350000
Maruti Swift,2018,80955,1,PETROL,TS-07,Manual,HatchBack,644000
Ford Ecosport,2018,54308,1,PETROL,DL-10,Manual,SUV,695000
Hyundai Verna,2018,20664,1,PETROL,MH-04,Manual,Sedan,409000
Maruti Celerio,2018,52080,2,PETROL,TN-02,Automatic,HatchBack,462000
Maruti S PRESSO,2019,33484,1,PETROL,TS-11,Manual,HatchBack,429000
Maruti Dzire,2017,99367,1,DIESEL,RJ-20,Manual,Sedan,738000
Honda WR-V,2021,71880,1,DIESEL,TN-13,Manual,SUV,1026000
Tata Safari,2022,18319,1,DIESEL,TS-08,Manual,SUV,2107000
Hyundai Elite i20,2015,54154,1,PETROL,KA-01,Manual,HatchBack,664000
Hyundai i10,2011,42527,2,PETROL,MH-02,Manual,HatchBack,251000
