car_name,year,distance,owner,fuel,location,drive,type,price
Maruti Wagon R 1.0,2016,40417,1,PETROL,DL-9C,Automatic,HatchBack,401000
Maruti Baleno,2018,68101,1,PETROL,TS-07,Manual,HatchBack,691000
Honda City,2019,64853,2,PETROL,KL-45,Manual,Sedan,338000
Mahindra KUV 100 NXT,2017,51642,1,DIESEL,UP-14,Manual,SUV,507000
Maruti Alto K10,2018,24502,2,PETROL,WB-90,Manual,HatchBack,293000
Hyundai Elite i20,2016,60350,1,PETROL,TS-07,Manual,HatchBack,629000
Maruti Alto 800,2014,71000,2,PETROL,PB-10,Manual,HatchBack,234000
Toyota YARIS,2021,66161,2,PETROL,KA-01,Manual,Sedan,662000
Maruti Wagon R 1.0,2015,64154,1,PETROL,UP-32,Manual,HatchBack,325000
Mahindra XUV 3OO,2020,21270,1,DIESEL,GJ-01,Automatic,SUV,1064000
Hyundai Santro Xing,2010,90382,2,PETROL,AP-23,Manual,HatchBack,205000
Honda City,2018,49423,1,PETROL,KA-02,Manual,Sedan,810000
Hyundai Elite i20,2016,47227,1,PETROL,KL-41,Manual,HatchBack,588000
Renault TRIBER,2021,24236,1,PETROL,PB-70,Manual,SUV,677000
Hyundai Tucson New,2018,86933,2,PETROL,UP-14,Manual,Lux_SUV,1221000
Mahindra TUV300,2017,58157,1,DIESEL,TN-09,Manual,SUV,817000
Toyota Glanza,2020,35636,1,PETROL,MH-01,Automatic,HatchBack,809000
Maruti Ciaz,2017,45639,2,PETROL,MH-03,Manual,Sedan,428000
Honda City,2016,53355,1,PETROL,DL-1C,Manual,Sedan,678000
Maruti Baleno,2017,88993,1,PETROL,MP-09,Automatic,HatchBack,619000
Maruti Eeco,2022,2075,1,CNG,KL-01,Manual,SUV,552000
Renault Duster,2014,59943,1,PETROL,DL-1C,Manual,SUV,446000
Renault Duster,2020,20743,1,PETROL,KA-05,Manual,SUV,942000
Maruti Swift,2014,33869,1,DIESEL,KA-03,Manual,HatchBack,507000
Honda City,2016,71731,2,PETROL,HR-51,Manual,Sedan,627000
Hyundai GRAND I10 NIOS,2019,25955,2,PETROL,WB-20,Automatic,HatchBack,565000
Ford Ecosport,2018,47942,1,PETROL,DL-10,Manual,SUV,844000
Maruti Wagon R 1.0,2014,63838,2,PETROL,UP-32,Manual,HatchBack,281000
Maruti Swift Dzire,2012,50854,2,PETROL,DL-3C,Manual,Sedan,294000
Maruti Alto,2020,18534,1,PETROL,KL-36,Manual,HatchBack,368000
Hyundai Elite i20,2016,118327,2,DIESEL,MH-14,Manual,HatchBack,613000
Toyota URBAN CRUISER,2020,22389,1,PETROL,UP-78,Manual,SUV,751000
Mahindra XUV500,2018,105759,2,DIESEL,KA-09,Manual,Lux_SUV,1196000
Maruti Alto 800,2015,30790,1,PETROL,MH-12,Manual,HatchBack,253000
Honda City,2010,68137,1,PETROL,TN-07,Manual,Sedan,737000
Hyundai i10,2012,35125,2,PETROL,TN-07,Manual,HatchBack,308000
Hyundai Elite i20,2018,67281,2,PETROL,GJ-01,Manual,HatchBack,690000
Hyundai NEW SANTRO,2018,80229,1,CNG,MH-14,Manual,HatchBack,436000
Hyundai NEW SANTRO,2018,22533,1,PETROL,TS-10,Manual,HatchBack,505000
Hyundai NEW SANTRO,2019,27153,2,PETROL,RJ-36,Manual,HatchBack,486000
Nissan MAGNITE,2021,66065,1,PETROL,DL-8C,Manual,SUV,750000
Honda City,2018,53612,2,PETROL,TN-02,Automatic,Sedan,591000
Hyundai Grand i10,2017,23376,1,PETROL,MH-05,Manual,HatchBack,535000
KIA SONET,2021,22542,1,PETROL,PB-91,Manual,SUV,1141000
Tata Safari,2021,25239,1,DIESEL,TN-14,Automatic,SUV,1810000
Ford FREESTYLE,2020,37077,1,PETROL,KA-04,Manual,SUV,633000
Maruti Alto 800,2017,54791,1,PETROL,TS-07,Manual,HatchBack,331000
Maruti Ertiga,2012,100274,1,DIESEL,BR-01,Manual,SUV,416000
Hyundai Elite i20,2016,74317,1,PETROL,HR-35,Manual,HatchBack,483000
Maruti Ciaz,2017,70660,1,PETROL,GJ-01,Automatic,Sedan,776000
Ford Ecosport,2019,57675,1,CNG,DL-8C,Manual,SUV,796000
Hyundai Grand i10,2019,32033,1,PETROL,DL-9C,Automatic,HatchBack,593000
Hyundai i10,2010,99873,1,PETROL,HR-26,Manual,HatchBack,162000
Maruti Wagon R 1.0,2018,10409,1,PETROL,MH-02,Automatic,HatchBack,486000
Honda Jazz,2016,31130,1,PETROL,PB-08,Manual,HatchBack,461000
KIA SELTOS,2020,96537,2,PETROL,GJ-18,Manual,SUV,906000
Renault Duster,2013,92379,1,DIESEL,RJ-14,Manual,SUV,362000
Maruti Swift Dzire,2014,26337,2,PETROL,UP-37,Manual,Sedan,621000
Nissan MAGNITE,2021,25725,1,PETROL,GJ-38,Automatic,SUV,858000
Hyundai Grand i10,2019,15100,1,PETROL,HR-03,Manual,HatchBack,606000
Hyundai GRAND I10 NIOS,2021,27546,1,PETROL,MP-09,Automatic,HatchBack,692000
Maruti Wagon R 1.0,2018,32330,1,PETROL,HR-52,Automatic,HatchBack,449000
Honda Amaze,2019,18152,1,PETROL,GJ-06,Manual,Sedan,689000
Maruti Dzire,2017,71321,2,PETROL,HR-26,Manual,Sedan,701000
Maruti Alto K10,2012,80172,2,PETROL,AP-29,Manual,HatchBack,197300
Maruti Swift,2018,44602,1,PETROL,TS-07,Manual,HatchBack,654000
Toyota YARIS,2018,39299,1,PETROL,MH-12,Automatic,Sedan,901000
Honda Brio,2012,52092,2,PETROL,KA-04,Manual,HatchBack,332000
Volkswagen Ameo,2018,19158,1,PETROL,TN-59,Manual,Sedan,654000
Renault Kiger,2021,20044,1,PETROL,KA-04,Manual,HatchBack,675000
Maruti Wagon R 1.0,2014,44752,1,PETROL,MH-03,Manual,HatchBack,353000
Honda Accord,2013,114653,1,PETROL,,Manual,Sedan,190000
Datsun Redi Go,2018,30732,1,PETROL,KA-04,Manual,HatchBack,262000
Maruti Swift Dzire,2012,14799,1,PETROL,MH-01,Manual,Sedan,468000
Maruti Dzire,2018,43525,1,PETROL,KA-05,Manual,Sedan,674000
Hyundai Grand i10,2017,92995,2,PETROL,HR-36,Manual,HatchBack,442000
Hyundai NEW I20,2021,14261,1,PETROL,TN-14,Manual,HatchBack,763000
Honda Amaze,2013,9415,1,PETROL,GJ-32,Manual,Sedan,723000
Maruti Celerio,2018,17547,1,PETROL,MH-01,Automatic,HatchBack,488000
Maruti Celerio,2017,49344,1,PETROL,GJ-08,Automatic,HatchBack,471000
Hyundai Elite i20,2019,18690,1,PETROL,TS-12,Manual,HatchBack,751000
Tata NEXON,2018,83234,1,DIESEL,WB-26,Manual,SUV,526000
Maruti Ciaz,2021,17752,1,PETROL,TN-06,Manual,Sedan,761000
Honda Amaze,2021,97084,1,PETROL,KA-41,Manual,Sedan,422000
Hyundai Xcent,2015,40791,2,PETROL,MH-01,Manual,Sedan,444000
Tata ALTROZ,2020,35197,1,DIESEL,MH-03,Manual,HatchBack,787000
Maruti Vitara Brezza,2018,73081,1,DIESEL,UP-65,Manual,SUV,635000
